Age Group,Systolic blood pressure average,Estimated Glomerular Filtration Rate (mL/min/1.73 m2),alpha-tocopherol (Âµg/dL),Serum homocysteine: SI (umol/L),Serum ferritin (ng/mL),Serum creatinine (mg/dL),Serum blood urea nitrogen (mg/dL),Serum HDL cholesterol (mg/dL),Serum albumin:  SI (g/L),Serum C-reactive protein (mg/dL),Body Mass Index (kg/m**2),Waist to Height ratio,Waist Circumference (cm),Standing Height (cm),Weight (kg)
15-19,111.36374770361299,103.04055615637581,808.9311596257443,7.13676511466296,49.908891603731675,0.8202911764705882,10.92484662576687,51.184164606659884,44.20639917996778,0.24749854000389332,24.96199220849006,0.5015971844537357,84.11891145948333,168.0840567253975,70.87505397236615
20-24,112.4950495049505,110.81096346066386,955.6427249166976,7.400403030303031,66.7418761868591,0.8567885862516214,11.170753978606836,52.17379194196139,43.02302374119488,0.39015714285714287,26.500449152542373,0.530529703043714,88.87753564972886,167.75904337722696,74.7907364641956
25-29,113.25777331995988,106.39822267068469,1091.0989629038693,7.488445022771633,82.8007739630879,0.8606497252747253,11.41011390146837,52.9756480218281,42.6636301369863,0.4017967086156825,27.493743370844648,0.5498559246654744,92.16018538248456,167.92011931701296,77.86297339108911
30-34,113.8614931237721,102.29298547502304,1128.114758064516,7.486354860186417,91.4559281318245,0.8636337799431588,11.564725568942436,51.69825867340157,42.362631437045025,0.4426616151927873,28.453838166392302,0.5649007518647456,94.81558183340309,168.032416918429,80.61964408493428
35-39,115.6794742163802,98.0100775734773,1161.830566037736,7.943843205574914,105.1515466499687,0.878671918964547,11.996766483902714,51.265912897822446,42.43608232987958,0.40992153357171235,28.898335976738043,0.572939341591427,96.0917641863546,168.0324369569824,81.66594155154091
40-44,120.02756653992395,93.64322653193119,1236.5318403908796,8.422195546276965,107.80736168455822,0.8940016490311943,12.332237743084086,51.170664838930776,42.16650605726873,0.42161666666666664,29.312818253550763,0.5825859321540805,97.78955531453362,167.91765050167226,82.77232998535258
45-49,124.25190839694655,90.98986651210387,1288.8327804452206,8.800520661157025,121.78263028515242,0.8885056756336496,12.743752910135031,51.92086387026353,42.038353382284015,0.4526115664845172,29.414942131369305,0.5896707636114894,98.90108991825613,167.93340572792363,83.05539933046389
50-54,126.03297997644289,86.66164198547433,1368.8047597461468,9.239512730465322,161.73162446435526,0.9076420099875157,13.596030127098697,52.82967377666248,42.12782770374962,0.46882530849262044,29.463855188819508,0.5980777746682828,100.06059113300492,167.48469747498808,82.90700644545238
55-59,130.59771986970685,82.32251517625643,1433.6878437843784,9.396372039283651,175.44304979253113,0.9464940828402366,14.193291326908822,53.71216041397154,41.842739674827136,0.5168577981651377,29.476274127855497,0.6044480490240992,100.99884435342305,167.30200169157033,82.60415302089214
60-64,134.76931330472104,77.95643759343983,1460.246705882353,9.884410256410256,187.65478917558215,0.9747349678126284,15.139327242524915,52.70810922631361,41.65925218340611,0.5892864671163575,29.539871120462912,0.6124843578600617,101.80272985367985,166.21209312080538,81.71629886506936
65-69,138.12876052948255,71.66355856408956,1490.2359204921913,10.386666666666667,176.307976366322,1.039683976768022,16.188217160472682,52.85610640870617,41.57643746800887,0.5559916624557857,29.165206557377047,0.6155287363958978,101.73036008796042,165.67513041210222,80.1232456368846
70-74,140.52964426877472,67.65328486056768,1527.7720022002202,11.06611496531219,167.2360106165782,1.038848368522073,16.866085122699385,53.175465540410826,41.28832886163281,0.5427750809061488,28.603372157515253,0.6148620156604853,101.39670018856064,164.9144272806762,78.07939323220536
75-79,144.09172661870502,62.52104675385152,1547.8012005649719,11.82807402330363,162.91208530805685,1.0862383561643836,18.003810560696788,54.032780195865065,41.153245686113394,0.5673598654708519,27.96310174342961,0.6104449669870498,100.31115646258503,164.32519734108848,75.73115894039735
80-84,146.6120527306968,58.15075991854301,1599.6053015241882,12.038273333333333,159.7244703087886,1.1442974683544305,20.153772986683578,55.09518850239533,40.72679546409072,0.5689217557251909,26.663954893274266,0.6004925583622295,97.90610573343261,162.59552166934188,70.717322169059
